m2_price,square,rooms,micro_district,district,floor,floors,Day,Month,Year,building_type,Construction_year,condition,price
1019,107,3,85,1,7,8,4,2,2023,1,2022,2,109000
815,46,1,69,1,2,10,4,2,2023,2,2021,1,37500
1349,43,2,89,5,1,5,4,2,2023,1,2021,2,58000
1112,40,1,37,4,10,10,4,2,2023,2,2021,2,44500
1186,43,1,83,1,4,12,4,2,2023,2,2022,2,51000
1051,138,3,97,3,8,13,4,2,2023,2,2017,2,145000
670,123,3,83,1,13,14,4,2,2023,2,2021,5,82410
1214,70,2,60,3,7,9,4,2,2023,2,2014,2,85000
1092,76,2,37,4,8,10,4,2,2023,2,2014,3,83000
1070,43,2,100,3,3,3,4,2,2023,1,2014,2,46000
882,68,2,75,1,5,9,4,2,2023,3,2014,3,60000
1277,47,2,83,1,3,14,4,2,2023,2,2022,1,60000
1818,88,2,64,3,7,13,4,2,2023,2,2017,2,160000
1000,64,2,83,1,9,12,4,2,2023,2,2017,2,64000
1197,61,2,60,3,3,10,4,2,2023,2,2016,2,73000
1129,124,4,88,5,12,14,4,2,2023,2,2016,2,140000
1270,100,4,88,5,5,9,4,2,2023,1,2016,4,127000
1212,52,2,4,1,7,9,4,2,2023,3,2016,4,63000
856,94,2,86,1,9,10,4,2,2023,1,2012,4,80500
1009,112,3,97,3,6,9,4,2,2023,1,2017,2,113000
1025,80,3,4,1,2,9,4,2,2023,3,2017,2,82000
1042,84,2,10,1,5,12,4,2,2023,2,2017,2,87500
1025,61,3,71,4,5,5,4,2,2023,1,2017,4,62500
1134,41,2,68,1,3,5,4,2,2023,2,2017,2,46500
989,140,3,2,1,3,6,4,2,2023,2,2013,2,138500
1022,67,2,83,1,4,12,4,2,2023,2,2022,1,68500
977,131,3,90,3,10,11,4,2,2023,1,2022,1,128000
857,56,1,83,1,4,9,4,2,2023,2,2022,1,48000
1370,46,1,83,1,8,12,4,2,2023,2,2019,3,63000
1007,72,3,2,1,2,5,4,2,2023,3,2019,3,72500
825,80,2,24,4,9,10,4,2,2023,2,2019,2,66000
886,22,1,7,1,5,5,4,2,2023,1,2019,2,19500
840,86,2,83,1,9,12,4,2,2023,2,2021,1,72240
954,194,4,97,3,3,6,4,2,2023,2,2021,2,185000
1025,80,3,4,1,2,9,4,2,2023,3,2013,2,82000
1221,68,3,11,1,9,9,4,2,2023,2,2014,2,83000
1146,164,4,11,1,8,9,4,2,2023,2,2014,2,188000
1425,200,4,64,3,10,13,4,2,2023,2,2014,2,285000
950,60,2,10,1,4,9,4,2,2023,3,2014,4,57000
991,115,4,89,5,9,10,4,2,2023,2,2018,2,114000
1000,185,4,88,5,10,11,4,2,2023,2,2018,2,185000
1382,34,1,89,5,5,9,4,2,2023,3,2018,4,47000
1233,30,1,96,1,1,4,4,2,2023,1,2018,2,37000
1233,30,1,100,3,3,4,4,2,2023,1,2018,4,37000
954,65,3,81,3,3,3,4,2,2023,1,1992,3,62000
1044,43,2,86,1,1,3,4,2,2023,1,1992,4,44900
1089,124,4,104,3,12,15,4,2,2023,2,2017,4,135000
1148,61,3,11,1,9,9,4,2,2023,3,1984,2,70000
1182,33,1,37,4,2,9,4,2,2023,3,1984,4,39000
1711,45,2,83,1,9,12,4,2,2023,2,1984,4,77000
1133,75,2,52,5,6,9,4,2,2023,2,1984,2,85000
1016,63,3,114,1,9,9,4,2,2023,3,1984,2,64000
822,45,2,98,5,1,4,4,2,2023,2,2022,3,37000
1104,67,3,2,1,2,5,4,2,2023,3,1989,3,74000
1017,58,3,109,4,4,4,4,2,2023,1,1989,2,59000
946,111,3,29,1,5,6,4,2,2023,1,2011,2,105000
857,42,1,49,5,2,14,4,2,2023,2,2011,1,36000
927,48,1,7,1,7,9,4,2,2023,3,2011,4,44500
1092,76,2,37,4,8,10,4,2,2023,2,2011,3,83000
1118,34,1,24,4,6,9,4,2,2023,3,2011,4,38000
1371,35,1,11,1,2,9,4,2,2023,3,2011,4,48000
2232,112,3,83,1,5,8,4,2,2023,2,2011,3,250000
1600,100,3,83,1,7,10,4,2,2023,2,2011,3,160000
1198,192,4,83,1,7,12,4,2,2023,2,2011,1,230000
1150,75,2,83,1,5,12,4,2,2023,1,2011,1,86250
1300,108,3,10,1,8,15,4,2,2023,2,2011,1,140400
1274,31,1,30,5,1,4,4,2,2023,1,2011,3,39500
810,110,3,83,1,6,14,4,2,2023,1,2022,1,89489
750,55,1,83,1,11,16,4,2,2023,2,2024,1,41250
1102,45,1,65,5,12,12,4,2,2023,2,2024,3,49600
1000,54,1,13,3,6,9,4,2,2023,2,2023,2,54250
1700,116,3,83,1,9,15,4,2,2023,2,2020,1,197200
1240,73,2,121,4,15,19,4,2,2023,2,2018,1,90892
595,42,1,127,3,4,5,4,2,2023,2,2023,1,25000
825,200,5,18,3,5,6,4,2,2023,1,2023,2,165000
800,100,3,121,4,9,9,4,2,2023,1,2023,2,80000
763,38,1,15,1,11,14,4,2,2023,2,2024,1,29000
710,88,3,15,1,9,14,4,2,2023,2,2024,1,62480
780,82,2,83,1,7,16,4,2,2023,2,2023,1,63960
720,67,2,15,1,7,14,4,2,2023,2,2024,1,48240
1122,75,3,90,3,6,9,4,2,2023,1,2024,3,84500
1056,80,2,4,1,2,10,4,2,2023,2,2020,3,84500
1184,49,2,11,1,6,9,4,2,2023,3,2020,4,57999
710,83,3,15,1,8,14,4,2,2023,2,2024,1,58930
800,69,2,83,1,13,16,4,2,2023,2,2023,1,55200
9042,61,2,71,4,9,14,4,2,2023,2,2022,1,550000
835,130,3,83,1,8,14,4,2,2023,2,2022,1,108550
835,132,3,83,1,4,14,4,2,2023,2,2022,1,110220
823,48,1,83,1,9,10,4,2,2023,2,2022,1,39500
967,42,1,89,5,3,5,4,2,2023,1,2022,4,40600
974,69,2,109,4,10,10,4,2,2023,2,2019,3,67500
800,58,1,83,1,14,16,4,2,2023,2,2023,1,46400
972,74,2,109,4,6,10,4,2,2023,2,2019,3,72000
1406,128,3,22,5,8,10,4,2,2023,2,2016,2,180000
835,138,4,83,1,7,14,4,2,2023,2,2022,1,115230
1190,100,3,34,5,7,16,4,2,2023,3,2022,2,119000
1044,91,3,45,5,12,12,4,2,2023,2,2022,2,95000
1143,49,2,122,4,4,5,4,2,2023,3,2022,2,56000
825,76,2,13,3,12,15,4,2,2023,2,2022,2,62700
2679,112,3,83,1,7,8,4,2,2023,2,2022,3,300000
1082,97,3,76,1,1,12,4,2,2023,2,2022,3,105000
